val,cana,periodo,fecha,fechaF,ctec,flag,nombre,idai,uuidai,ides
77.0,190,5,1709593200000,2024-03-05 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,6,1709679600000,2024-03-06 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,7,1709766000000,2024-03-07 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,8,1709852400000,2024-03-08 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,9,1709938800000,2024-03-09 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
79.0,190,10,1710025200000,2024-03-10 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
79.0,190,11,1710111600000,2024-03-11 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,12,1710198000000,2024-03-12 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,13,1710284400000,2024-03-13 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
67.0,190,15,1710457200000,2024-03-15 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
69.0,190,16,1710543600000,2024-03-16 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
72.0,190,17,1710630000000,2024-03-17 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
65.0,190,18,1710716400000,2024-03-18 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
66.0,190,19,1710802800000,2024-03-19 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
66.0,190,20,1710889200000,2024-03-20 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
